Species,Site,Log L,Log W
L. bohar,Rowley Shoals,2.343634868,2.220377178
L. bohar,Rowley Shoals,2.448413699,2.414527019
L. bohar,Rowley Shoals,2.418292894,2.464203256
L. bohar,Rowley Shoals,2.520162642,2.359136188
L. bohar,Rowley Shoals,2.525367302,2.46468531
L. bohar,Rowley Shoals,2.488132316,2.466917759
L. bohar,Rowley Shoals,2.519122998,2.587454034
L. bohar,Rowley Shoals,2.50564659,2.597475187
L. bohar,Rowley Shoals,2.498419949,2.622822788
L. bohar,Rowley Shoals,2.506680672,2.684794879
L. bohar,Rowley Shoals,2.532671888,2.648615102
L. bohar,Rowley Shoals,2.548395798,2.679778088
L. bohar,Rowley Shoals,2.53580889,2.711171361
L. bohar,Rowley Shoals,2.561045184,2.729811306
L. bohar,Rowley Shoals,2.571634288,2.732518048
L. bohar,Rowley Shoals,2.573757357,2.778075883
L. bohar,Rowley Shoals,2.559988675,2.788835309
L. bohar,Rowley Shoals,2.564217329,2.829833678
L. bohar,Rowley Shoals,2.594014136,2.832734582
L. bohar,Rowley Shoals,2.576945248,2.827146404
L. bohar,Rowley Shoals,2.638270996,2.786503598
L. bohar,Rowley Shoals,2.657938596,2.911243888
L. bohar,Rowley Shoals,2.614430345,2.882856492
L. bohar,Rowley Shoals,2.623074643,2.908240915
L. bohar,Rowley Shoals,2.633920219,2.94243119
L. bohar,Rowley Shoals,2.599371314,2.930833483
L. bohar,Rowley Shoals,2.604739556,2.97971438
L. bohar,Rowley Shoals,2.627407504,2.976934686
L. bohar,Rowley Shoals,2.643719574,2.991527807
L. bohar,Rowley Shoals,2.621992545,2.991416351
L. bohar,Rowley Shoals,2.657938596,3.032606402
L. bohar,Rowley Shoals,2.642628959,3.086075086
L. bohar,Rowley Shoals,2.677752812,3.092267234
L. bohar,Rowley Shoals,2.677752812,3.128562704
L. bohar,Rowley Shoals,2.638270996,3.230370325
L. bohar,Rowley Shoals,2.616588745,3.306525081
L. bohar,Rowley Shoals,2.720069236,3.14097796
L. bohar,Rowley Shoals,2.706634407,3.180865794
L. bohar,Rowley Shoals,2.704401729,3.215061261
L. bohar,Rowley Shoals,2.686606479,3.227495084
L. bohar,Rowley Shoals,2.673336927,3.227422936
L. bohar,Rowley Shoals,2.681069513,3.274887236
L. bohar,Rowley Shoals,2.721191811,3.227681476
L. bohar,Rowley Shoals,2.72343835,3.268755624
L. bohar,Rowley Shoals,2.741477563,3.33304983
L. bohar,Rowley Shoals,2.734698898,3.310401798
L. bohar,Rowley Shoals,2.71670429,3.332913232
L. bohar,Rowley Shoals,2.71670429,3.388468515
L. bohar,Rowley Shoals,2.729062817,3.411682416
L. bohar,Rowley Shoals,2.751677079,3.38208014
L. bohar,Rowley Shoals,2.779061687,3.415281577
L. bohar,Rowley Shoals,2.789401032,3.455426359
L. bohar,Rowley Shoals,2.798623849,3.51307613
L. bohar,Rowley Shoals,2.741477563,3.516166481
L. bohar,Rowley Shoals,2.755085343,3.550604853
L. bohar,Rowley Shoals,2.755085343,3.488996829
L. bohar,Rowley Shoals,2.766476741,3.516310589
L. bohar,Rowley Shoals,2.794008635,3.624086698
L. bohar,Rowley Shoals,2.799778844,3.564701564
L. bohar,Rowley Shoals,2.829976581,3.596210424
L. bohar,Rowley Shoals,2.821814526,3.617206935
L. bohar,Rowley Shoals,2.831144515,3.706276685
L. bohar,Rowley Shoals,2.828809129,3.760720226
L. bohar,Rowley Shoals,2.838162245,3.790147063
L. bohar,Rowley Shoals,2.784801027,3.834305307
L. bohar,Scott Reefs,2.325333313,2.171190916
L. bohar,Scott Reefs,2.333984587,2.164902458
L. bohar,Scott Reefs,2.346537725,2.171279901
L. bohar,Scott Reefs,2.351383813,2.203203759
L. bohar,Scott Reefs,2.372825777,2.379226432
L. bohar,Scott Reefs,2.389528394,2.306403435
L. bohar,Scott Reefs,2.406348583,2.377064483
L. bohar,Scott Reefs,2.429293921,2.395731451
L. bohar,Scott Reefs,2.422287491,2.426177867
L. bohar,Scott Reefs,2.432302877,2.442794705
L. bohar,Scott Reefs,2.449424161,2.471545265
L. bohar,Scott Reefs,2.456509083,2.471577494
L. bohar,Scott Reefs,2.471760141,2.503090391
